objectFilename,objectUrl,objectFileSize,objectId,objectType
44017308_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/173/44017308/content/dc-metro/projects/2017/44017308_01.jpg,1345485,51460095,Image (JPG)
44017308_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/173/44017308/content/dc-metro/projects/2017/44017308_02.jpg,1360321,51460096,Image (JPG)
44017308.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/8/173/44017308/content/dc-metro/projects/2017/44017308.pdf,2699519,51460094,Portable Document File (PDF)
