objectFilename,objectUrl,objectFileSize,objectId,objectType
43998830_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/30/9988/43998830/content/dc-metro/projects/2017/43998830_01.jpg,1548082,51460092,Image (JPG)
43998830_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/30/9988/43998830/content/dc-metro/projects/2017/43998830_02.jpg,1884654,51460093,Image (JPG)
43998830.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/30/9988/43998830/content/dc-metro/projects/2017/43998830.pdf,3426693,51460091,Portable Document File (PDF)
