objectFilename,objectUrl,objectFileSize,objectId,objectType
44129414_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/1294/44129414/content/dc-metro/projects/2017/44129414_01.jpg,1289341,51460152,Image (JPG)
44129414_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/1294/44129414/content/dc-metro/projects/2017/44129414_02.jpg,1532044,51460153,Image (JPG)
44129414.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/14/1294/44129414/content/dc-metro/projects/2017/44129414.pdf,2816824,51460151,Portable Document File (PDF)
