objectFilename,objectUrl,objectFileSize,objectId,objectType
44129402_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/1294/44129402/content/dc-metro/projects/2017/44129402_01.jpg,6991038,51460134,Image (JPG)
44129402_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/1294/44129402/content/dc-metro/projects/2017/44129402_02.jpg,6338801,51460135,Image (JPG)
44129402.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/2/1294/44129402/content/dc-metro/projects/2017/44129402.pdf,13327697,51460133,Portable Document File (PDF)
