objectFilename,objectUrl,objectFileSize,objectId,objectType
44124271_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/1242/44124271/content/dc-metro/projects/2017/44124271_01.jpg,1684520,51460125,Image (JPG)
44124271_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/1242/44124271/content/dc-metro/projects/2017/44124271_02.jpg,1245391,51460126,Image (JPG)
44124271.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/71/1242/44124271/content/dc-metro/projects/2017/44124271.pdf,2924107,51460124,Portable Document File (PDF)
