objectFilename,objectUrl,objectFileSize,objectId,objectType
43953606_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/6/9536/43953606/content/dc-metro/projects/2017/43953606_01.jpg,1832700,51460089,Image (JPG)
43953606_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/6/9536/43953606/content/dc-metro/projects/2017/43953606_02.jpg,1294888,51460090,Image (JPG)
43953606.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/6/9536/43953606/content/dc-metro/projects/2017/43953606.pdf,3123285,51460088,Portable Document File (PDF)
