objectFilename,objectUrl,objectFileSize,objectId,objectType
44129407_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/7/1294/44129407/content/dc-metro/projects/2017/44129407_01.jpg,1317548,51460146,Image (JPG)
44129407_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/7/1294/44129407/content/dc-metro/projects/2017/44129407_02.jpg,1494015,51460147,Image (JPG)
44129407.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/7/1294/44129407/content/dc-metro/projects/2017/44129407.pdf,2805786,51460145,Portable Document File (PDF)
