objectFilename,objectUrl,objectFileSize,objectId,objectType
44129400_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/0/1294/44129400/content/dc-metro/projects/2017/44129400_01.jpg,1307620,54985994,Image (JPG)
44129400_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/0/1294/44129400/content/dc-metro/projects/2017/44129400_02.jpg,1379840,54985995,Image (JPG)
44129400.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/0/1294/44129400/content/dc-metro/projects/2017/44129400.pdf,2683052,54985993,Portable Document File (PDF)
