objectFilename,objectUrl,objectFileSize,objectId,objectType,objectDescription
Sect1lBrigAloPR_a.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/6414/2641467/content/arcmedia/nr/docrights/Sect1lBrigAloPR_a.jpg,258452,14264751,Image (JPG),
Sect1lBrigAloPR.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/67/6414/2641467/content/arcmedia/nr/docrights/Sect1lBrigAloPR.pdf,648516,14264752,Portable Document File (PDF),Download High Resolution PDF
