objectFilename,objectUrl,objectFileSize,objectId,objectType
44055453_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/53/554/44055453/content/dc-metro/projects/2017/44055453_01.jpg,1322542,51460107,Image (JPG)
44055453_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/53/554/44055453/content/dc-metro/projects/2017/44055453_02.jpg,1504464,51460108,Image (JPG)
44055453.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/53/554/44055453/content/dc-metro/projects/2017/44055453.pdf,2820243,51460106,Portable Document File (PDF)
