objectFilename,objectUrl,objectFileSize,objectId,objectType
44036086_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/86/360/44036086/content/dc-metro/projects/2017/44036086_01.jpg,1311653,51460101,Image (JPG)
44036086_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/86/360/44036086/content/dc-metro/projects/2017/44036086_02.jpg,1430674,51460102,Image (JPG)
44036086.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/86/360/44036086/content/dc-metro/projects/2017/44036086.pdf,2735734,51460100,Portable Document File (PDF)
