objectFilename,objectUrl,objectFileSize,objectId,objectType
44073977_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/739/44073977/content/dc-metro/projects/2017/44073977_01.jpg,1265077,51460113,Image (JPG)
44073977_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/739/44073977/content/dc-metro/projects/2017/44073977_02.jpg,1488564,51460114,Image (JPG)
44073977.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/77/739/44073977/content/dc-metro/projects/2017/44073977.pdf,2745829,51460112,Portable Document File (PDF)
