objectFilename,objectUrl,objectFileSize,objectId,objectType
44128298_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/98/1282/44128298/content/dc-metro/projects/2017/44128298_01.jpg,1662433,51460128,Image (JPG)
44128298_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/98/1282/44128298/content/dc-metro/projects/2017/44128298_02.jpg,1601084,51460129,Image (JPG)
44128298.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/98/1282/44128298/content/dc-metro/projects/2017/44128298.pdf,3259119,51460127,Portable Document File (PDF)
