objectFilename,objectUrl,objectFileSize,objectId,objectType
44045088_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/88/450/44045088/content/dc-metro/projects/2017/44045088_01.jpg,1297375,51460104,Image (JPG)
44045088_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/88/450/44045088/content/dc-metro/projects/2017/44045088_02.jpg,1361517,51460105,Image (JPG)
44045088.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/88/450/44045088/content/dc-metro/projects/2017/44045088.pdf,2653968,51460103,Portable Document File (PDF)
