objectFilename,objectUrl,objectFileSize,objectId,objectType
44089479_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/79/894/44089479/content/dc-metro/projects/2017/44089479_01.jpg,1510780,51460116,Image (JPG)
44089479_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/79/894/44089479/content/dc-metro/projects/2017/44089479_02.jpg,1680838,51460117,Image (JPG)
44089479.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/79/894/44089479/content/dc-metro/projects/2017/44089479.pdf,3187576,51460115,Portable Document File (PDF)
