objectFilename,objectUrl,objectFileSize,objectId,objectType
44005972_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/72/59/44005972/content/dc-metro/projects/2017/44005972_01.jpg,1275007,54985991,Image (JPG)
44005972_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/72/59/44005972/content/dc-metro/projects/2017/44005972_02.jpg,1356803,54985992,Image (JPG)
44005972.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/72/59/44005972/content/dc-metro/projects/2017/44005972.pdf,2625553,54985990,Portable Document File (PDF)
