objectFilename,objectUrl,objectFileSize,objectId,objectType
44129403_01.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/3/1294/44129403/content/dc-metro/projects/2017/44129403_01.jpg,1289985,51460137,Image (JPG)
44129403_02.jpg,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/3/1294/44129403/content/dc-metro/projects/2017/44129403_02.jpg,1385080,51460138,Image (JPG)
44129403.pdf,https://s3.amazonaws.com/NARAprodstorage/opastorage/live/3/1294/44129403/content/dc-metro/projects/2017/44129403.pdf,2671091,51460136,Portable Document File (PDF)
