objectFilename,objectUrl,objectFileSize,objectDesignator,objectId,objectType,objectDescription
Newport-manifest_001.JPG,https://s3.amazonaws.com/NARAprodstorage/lz/boston/arcmedia/gallery/Newport-manifest_001.JPG,4394230,1,16048327,Image (JPG),
Newport-manifest_002.JPG,https://s3.amazonaws.com/NARAprodstorage/lz/boston/arcmedia/gallery/Newport-manifest_002.JPG,4173084,2,16048329,Image (JPG),
Newport-manifest.pdf,https://s3.amazonaws.com/NARAprodstorage/lz/boston/arcmedia/gallery/Newport-manifest.pdf,3919338,,16048328,Portable Document File (PDF),Download the PDF
